Job.Titles,Department,Annual.Salary
PROJECTS ADMINISTRATOR,TRANSPORTN,99036
POLICE OFFICER (ASSIGNED AS CANINE HANDLER),POLICE,91338
ADMINISTRATIVE SERVICES OFFICER II,POLICE,111492
FILTRATION ENGINEER IV,WATER MGMNT,110064
POLICE COMMUNICATIONS OPERATOR I,OEMC,50412
POLICE OFFICER,POLICE,68616
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,48078
AIRPORT OPERATIONS SUPVSR II,AVIATION,88308
POLICE OFFICER,POLICE,72510
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,87006
PARKING ENFORCEMENT AIDE,FINANCE,38136
SERGEANT,POLICE,107988
FIRE COMMUNICATIONS OPERATOR II,OEMC,95712
WATER CHEMIST II,WATER MGMNT,84516
POLICE OFFICER (ASGND AS MOUNTED PATROL OFFICER),POLICE,98052
POLICE OFFICER,POLICE,87006
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,94122
LIEUTENANT,POLICE,127692
LIBRARY DIVISION CHIEF,PUBLIC LIBRARY,107184
FIRE ENGINEER-EMT,FIRE,103350
FIRE ENGINEER,FIRE,100980
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,48078
ASSOCIATE COMPLIANCE OFFICER,INSPECTOR GEN,68100
DISTRICT SUPERINTENDENT OF WATER DISTRIBUTION,WATER MGMNT,111456
POLICE OFFICER,POLICE,84054
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,100980
HEAD LIBRARY CLERK,PUBLIC LIBRARY,70092
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,84054
MANAGER OF FLEET SERVICES,GENERAL SERVICES,96720
ACCOUNTANT III,FAMILY & SUPPORT,92388
PROJECTS ADMINISTRATOR,BUILDINGS,94824
POLICE OFFICER,POLICE,87006
CHIEF PROGRAMMER/ANALYST,DoIT,128136
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,93354
PROJECT MANAGER,AVIATION,80868
POLICE OFFICER,POLICE,87006
